material_code,description,business_unit,intro_date,phaseout_date
100269,LUSH-like Product 270,Haircare,2024-06-01 18:18:15.938575,
100270,LUSH-like Product 271,Skincare,2025-12-01 18:18:15.938575,
100271,LUSH-like Product 272,Fragrance,2024-10-01 18:18:15.938575,
100272,LUSH-like Product 273,Fragrance,2024-10-01 18:18:15.938575,
100273,LUSH-like Product 274,Fragrance,2024-04-01 18:18:15.938575,
100274,LUSH-like Product 275,Bath,2025-08-01 18:18:15.938575,
100275,LUSH-like Product 276,Fragrance,2025-05-01 18:18:15.938575,
100276,LUSH-like Product 277,Bath,2025-05-01 18:18:15.938575,
100277,LUSH-like Product 278,Skincare,2024-04-01 18:18:15.938575,
100278,LUSH-like Product 279,Bath,2025-09-01 18:18:15.938575,
100279,LUSH-like Product 280,Skincare,2026-01-01 18:18:15.938575,
100280,LUSH-like Product 281,Fragrance,2025-11-01 18:18:15.938575,
100281,LUSH-like Product 282,Fragrance,2026-01-01 18:18:15.938575,2026-11-01 18:18:15.938575
100282,LUSH-like Product 283,Skincare,2024-02-01 18:18:15.938575,
100283,LUSH-like Product 284,Haircare,2026-01-01 18:18:15.938575,
100284,LUSH-like Product 285,Skincare,2025-09-01 18:18:15.938575,
100285,LUSH-like Product 286,Haircare,2024-12-01 18:18:15.938575,
100286,LUSH-like Product 287,Bath,2025-06-01 18:18:15.938575,
100287,LUSH-like Product 288,Bath,2024-09-01 18:18:15.938575,
100288,LUSH-like Product 289,Bath,2024-05-01 18:18:15.938575,
100289,LUSH-like Product 290,Fragrance,2024-07-01 18:18:15.938575,2025-03-01 18:18:15.938575
100290,LUSH-like Product 291,Bath,2024-09-01 18:18:15.938575,2025-07-01 18:18:15.938575
100291,LUSH-like Product 292,Haircare,2025-09-01 18:18:15.938575,
100292,LUSH-like Product 293,Bath,2024-04-01 18:18:15.938575,2024-11-01 18:18:15.938575
100293,LUSH-like Product 294,Skincare,2025-05-01 18:18:15.938575,
100294,LUSH-like Product 295,Skincare,2024-04-01 18:18:15.938575,
100295,LUSH-like Product 296,Fragrance,2025-07-01 18:18:15.938575,2026-06-01 18:18:15.938575
100296,LUSH-like Product 297,Skincare,2025-03-01 18:18:15.938575,
100297,LUSH-like Product 298,Haircare,2025-07-01 18:18:15.938575,
100298,LUSH-like Product 299,Bath,2024-03-01 18:18:15.938575,
100299,LUSH-like Product 300,Fragrance,2025-11-01 18:18:15.938575,
100300,LUSH-like Product 301,Bath,2024-04-01 18:18:15.938575,
100301,LUSH-like Product 302,Bath,2025-05-01 18:18:15.938575,
100302,LUSH-like Product 303,Haircare,2024-10-01 18:18:15.938575,
100303,LUSH-like Product 304,Skincare,2024-05-01 18:18:15.938575,
100304,LUSH-like Product 305,Skincare,2024-02-01 18:18:15.938575,
100305,LUSH-like Product 306,Bath,2024-05-01 18:18:15.938575,
100306,LUSH-like Product 307,Fragrance,2024-02-01 18:18:15.938575,
100307,LUSH-like Product 308,Skincare,2025-03-01 18:18:15.938575,
100308,LUSH-like Product 309,Fragrance,2025-10-01 18:18:15.938575,
100309,LUSH-like Product 310,Skincare,2025-05-01 18:18:15.938575,2026-08-01 18:18:15.938575
100310,LUSH-like Product 311,Fragrance,2025-09-01 18:18:15.938575,
100311,LUSH-like Product 312,Haircare,2026-01-01 18:18:15.938575,2027-05-01 18:18:15.938575
100312,LUSH-like Product 313,Fragrance,2024-09-01 18:18:15.938575,
100313,LUSH-like Product 314,Haircare,2024-08-01 18:18:15.938575,
100314,LUSH-like Product 315,Haircare,2024-04-01 18:18:15.938575,
100315,LUSH-like Product 316,Fragrance,2025-06-01 18:18:15.938575,
100316,LUSH-like Product 317,Haircare,2024-02-01 18:18:15.938575,
100317,LUSH-like Product 318,Bath,2025-05-01 18:18:15.938575,
100318,LUSH-like Product 319,Haircare,2025-01-01 18:18:15.938575,
100319,LUSH-like Product 320,Skincare,2025-08-01 18:18:15.938575,
100320,LUSH-like Product 321,Fragrance,2025-11-01 18:18:15.938575,
100321,LUSH-like Product 322,Bath,2025-12-01 18:18:15.938575,2026-10-01 18:18:15.938575
100322,LUSH-like Product 323,Fragrance,2025-11-01 18:18:15.938575,2027-01-01 18:18:15.938575
100323,LUSH-like Product 324,Skincare,2025-03-01 18:18:15.938575,
100324,LUSH-like Product 325,Skincare,2024-07-01 18:18:15.938575,
100325,LUSH-like Product 326,Skincare,2024-07-01 18:18:15.938575,
100326,LUSH-like Product 327,Haircare,2025-02-01 18:18:15.938575,
100327,LUSH-like Product 328,Haircare,2025-08-01 18:18:15.938575,
100328,LUSH-like Product 329,Fragrance,2025-11-01 18:18:15.938575,
100329,LUSH-like Product 330,Fragrance,2024-09-01 18:18:15.938575,
100330,LUSH-like Product 331,Bath,2024-03-01 18:18:15.938575,2025-04-01 18:18:15.938575
100331,LUSH-like Product 332,Bath,2025-10-01 18:18:15.938575,
100332,LUSH-like Product 333,Fragrance,2024-02-01 18:18:15.938575,
100333,LUSH-like Product 334,Haircare,2025-04-01 18:18:15.938575,
100334,LUSH-like Product 335,Skincare,2024-02-01 18:18:15.938575,
100335,LUSH-like Product 336,Fragrance,2024-06-01 18:18:15.938575,
100336,LUSH-like Product 337,Bath,2025-05-01 18:18:15.938575,2026-06-01 18:18:15.938575
100337,LUSH-like Product 338,Haircare,2025-08-01 18:18:15.938575,
100338,LUSH-like Product 339,Fragrance,2024-05-01 18:18:15.938575,
100339,LUSH-like Product 340,Fragrance,2024-04-01 18:18:15.938575,
100340,LUSH-like Product 341,Haircare,2025-06-01 18:18:15.938575,
100341,LUSH-like Product 342,Fragrance,2025-06-01 18:18:15.938575,
100342,LUSH-like Product 343,Haircare,2025-01-01 18:18:15.938575,
100343,LUSH-like Product 344,Skincare,2025-03-01 18:18:15.938575,
100344,LUSH-like Product 345,Haircare,2025-10-01 18:18:15.938575,
100345,LUSH-like Product 346,Haircare,2024-07-01 18:18:15.938575,
100346,LUSH-like Product 347,Haircare,2024-04-01 18:18:15.938575,
100347,LUSH-like Product 348,Fragrance,2024-10-01 18:18:15.938575,
100348,LUSH-like Product 349,Fragrance,2024-06-01 18:18:15.938575,
100349,LUSH-like Product 350,Haircare,2026-01-01 18:18:15.938575,
100350,LUSH-like Product 351,Fragrance,2025-06-01 18:18:15.938575,
100351,LUSH-like Product 352,Bath,2025-03-01 18:18:15.938575,
100352,LUSH-like Product 353,Bath,2025-10-01 18:18:15.938575,
100353,LUSH-like Product 354,Fragrance,2024-04-01 18:18:15.938575,
100354,LUSH-like Product 355,Fragrance,2024-02-01 18:18:15.938575,
100355,LUSH-like Product 356,Haircare,2025-09-01 18:18:15.938575,
100356,LUSH-like Product 357,Skincare,2025-10-01 18:18:15.938575,
100357,LUSH-like Product 358,Fragrance,2025-12-01 18:18:15.938575,
100358,LUSH-like Product 359,Bath,2024-02-01 18:18:15.938575,2025-03-01 18:18:15.938575
100359,LUSH-like Product 360,Haircare,2024-04-01 18:18:15.938575,
100360,LUSH-like Product 361,Fragrance,2025-07-01 18:18:15.938575,2026-06-01 18:18:15.938575
100361,LUSH-like Product 362,Bath,2024-11-01 18:18:15.938575,
100362,LUSH-like Product 363,Bath,2025-11-01 18:18:15.938575,
